alpha_label,b,seed,path,tau,successes,evidence_at_stop,evidence_previous,threshold_at_stop,threshold_previous,p_hat,k_hat,lambda_hat,sigma_hat2,v_hat,target,center,lower_95,upper_95,covers_95,lower_50,upper_50,covers_50
1e-256,589.46178380647575,260604241,23,1706,994,599.56487178110297,598.49581343642467,598.59742370983008,598.5968377150873,0.58264947245017584,0.35144482519408149,-2.3915592028135984,0.71935259501726267,16.571825657039067,2.6184282293850227,2.8941655708083887,2.5655369063495383,3.222794235267239,1,2.7810733571011363,3.007257784515641,0
1e-256,589.46178380647575,260604241,24,1643,970,599.48159036371646,598.39934675584345,598.5598185626518,598.55921010507291,0.59038344491783323,0.36487010977706419,-2.4398965307364571,0.74216945875991547,15.278763783804042,2.6184282293850227,2.7872884131525106,2.4717411830195934,3.1028356432854278,1,2.6786979624573859,2.8958788638476354,0
1e-256,589.46178380647575,260604241,25,1529,926,599.44816339976398,598.34043352745778,598.48795400142217,598.48730019296477,0.60562459123610202,0.39205242864601958,-2.5351536952256368,0.78702202848876923,13.060338786253963,2.6184282293850227,2.5938916516799688,2.3021506395059999,2.8856326638539378,1,2.4934937239755217,2.6942895793844159,1
1e-256,589.46178380647575,260604241,26,1446,893,598.68467291371985,597.55741908145546,598.43217871366721,598.43148738975435,0.61756569847856158,0.41402812787947429,-2.6097856154910093,0.8219420366958724,11.581149066932003,2.6184282293850227,2.4530852376253987,2.1783615611032281,2.7278089141475692,1,2.3585435494045961,2.5476269258462012,0
1e-256,589.46178380647575,260604241,27,1722,1000,599.48680419693892,598.42106244099148,598.6067532235636,598.60617267202338,0.58072009291521487,0.34813403263469161,-2.3795005807200922,0.71365917684738567,16.91419808122642,2.6184282293850227,2.9213089759273423,2.5893029470091982,3.2533150048454864,1,2.8070544971333642,3.0355634547213204,0
1e-256,589.46178380647575,260604241,28,1586,948,599.27356175678744,598.17895203121213,598.52453170756212,598.52390138923045,0.59773013871374525,0.37785218269658732,-2.4858133669609073,0.76381717637070801,14.158707648434911,2.6184282293850227,2.6905900324162397,2.3868289922791557,2.9943510725533238,1,2.5860556074485053,2.7951244573839742,1
1e-256,589.46178380647575,260604241,29,1589,949,598.99422986141462,597.90045564311652,598.52642028225,598.52579115357241,0.59723096286972943,0.37696301438729679,-2.4826935179358083,0.76234762947771006,14.231701604124408,2.6184282293850227,2.6956794208760435,2.3911363808378772,3.0002224609142099,1,2.5908758833521119,2.8004829583999751,1
1e-256,589.46178380647575,260604241,30,1455,897,599.50780203609111,598.38228334069458,598.43837921579234,598.43769216664134,0.61649484536082477,0.41203285363305231,-2.6030927835051543,0.81882166064112472,11.705602829971681,2.6184282293850227,2.46835340300481,2.1921575482522471,2.7445492577573729,1,2.3733050885731717,2.5634017174364483,0
1e-256,589.46178380647575,260604241,31,1610,957,598.85150490020055,597.76246507908331,598.53954137021265,598.53892044501424,0.59440993788819874,0.37195745645975192,-2.4650621118012417,0.75403867958028326,14.652570395665728,2.6184282293850227,2.7313051400946695,2.4222918398580813,3.0403184403312578,1,2.6249632351781083,2.8376470450112308,0
1e-256,589.46178380647575,260604241,32,1556,936,598.55756564756678,597.45659893614607,598.50544715886974,598.50480469177398,0.60154241645244211,0.38467709874522288,-2.5096401028277624,0.77503208679029889,13.615408853471886,2.6184282293850227,2.6396961478182024,2.3418200831535572,2.9375722124828476,1,2.5371869415114361,2.7422053541249687,1
1e-256,589.46178380647575,260604241,33,1631,965,598.76055817131748,597.67615245088439,598.55249252255976,598.55187958965666,0.59166155732679337,0.36711254333005366,-2.447884733292458,0.74593809626291607,15.076659176022778,2.6184282293850227,2.7669308593132955,2.4534775764622685,3.0803841421643225,1,2.659061006542534,2.8748007120840571,0
1e-256,589.46178380647575,260604241,34,1659,976,599.29721008336742,598.21849089789521,598.56950386838628,598.56890127722613,0.5883062085593731,0.36124003018888934,-2.4269138034960815,0.73604288675661134,15.614048005142832,2.6184282293850227,2.8144318182714638,2.4954411200910074,3.1334225164519203,1,2.7046563540140935,2.9242072825288341,0
